product_id,tile_name,tile_size,brand,tile_pattern,tile_type,tile_material,tile_surface,tile_color
10263363,60*60A MR DG BMG66A1101Q ไม้สน ก.4,60*60,MARINE,ลายไม้,ปูพื้น,พอร์ทเลน,มัน,น้ำตาล
10266656,60*60A MR DG 9801นีโอไลท์ขาว ก.4,60*60,MARINE,หินอ่อน,ปูพื้น,พอร์ทเลน,มัน,ขาว
10266657,60*60A MR DG 9802 วาลากัสขาว ก.4,60*60,MARINE,หินอ่อน,ปูพื้น,พอร์ทเลน,มัน,ขาว
10281160,30*60A MR 63308VN เดม่อน GS ก.8,30*60,MARINE,หินธรรมชาติ,บุผนัง,เซรามิค,มัน,เทา
10333494,15*80A MR 18071 สไลท์โอ๊ก MAT ก.10,15*80,MARINE,ไม้ธรรมชาติ,ปูพื้น,เซรามิค,หยาบ,น้ำตาลเข้ม
10393017,30*60A MR 22415-HL1 Grim Grey MT ก.5,30*60,MARINE,บริค,ปูพื้น,พอร์ทเลน,มัน,เทา
10340191,60*60A MR 6201T รีโว่แบล็ค MT ก.4,60*60,MARINE,ซีเมนต์,ปูพื้น,พอร์ทเลน,หยาบ,เทา
